Key,Source,Context,English

modDyeCandyApple,item_modifiers,Dyes,Dye: Candy Apple
modDyeSafetyOrange,item_modifiers,Dyes,Dye: Safety Orange
modDyeLemonYellow,item_modifiers,Dyes,Dye: Lemon Yellow
modDyeChartreuse,item_modifiers,Dyes,Dye: Chartreuse
modDyeLimeGreen,item_modifiers,Dyes,Dye: Lime Green
modDyeAquamarine,item_modifiers,Dyes,Dye: Aquamarine
modDyeCyan,item_modifiers,Dyes,Dye: Cyan
modDyeCobaltBlue,item_modifiers,Dyes,Dye: Cobalt Blue
modDyeRoyalPurple,item_modifiers,Dyes,Dye: Royal Purple
modDyeMagenta,item_modifiers,Dyes,Dye: Magenta
modDyeSalmonPink,item_modifiers,Dyes,Dye: Salmon Pink
modDyeJetBlack,item_modifiers,Dyes,Dye: Jet Black
modDyeSilver,item_modifiers,Dyes,Dye: Silver
modDyeGold,item_modifiers,Dyes,Dye: Gold
modDyeBurgundy,item_modifiers,Dyes,Dye: Burgundy
modDyeForestGreen,item_modifiers,Dyes,Dye: Forest Green
modDyeIndigo,item_modifiers,Dyes,Dye: Indigo

uberCookingDesc,blocks,Cooking,Start cooking in a proper kitchen
uberCookingHelper,blocks,Cooking,Cooking Appliances
uberCookingModernOven,blocks,Cooking,Modern Oven
uberCookingOldStove,blocks,Cooking,Old Stove
uberCookingWoodStove,blocks,Cooking,Wood Burning Stove
uberCookingMicrowave,blocks,Cooking,Microwave
uberCookingToaster,blocks,Cooking,Toaster
uberCookingCoffeeBasic,blocks,Cooking,Coffee Maker
uberCookingCoffeePro,blocks,Cooking,Professional Coffee Maker
uberCookingCharcoalGrillClosed,blocks,Cooking,Charcoal Grill (Closed)
uberCookingCharcoalGrillOpen,blocks,Cooking,Charcoal Grill (Open)
uberCookingGasGrillClosed,blocks,Cooking,Propane Grill (Closed)
uberCookingGasGrillOpen,blocks,Cooking,Propane Grill (Open)

uberRiflePartsSchematic,items,Weapons,Rifle Parts Schematic
uberSteelSpearPartsSchematic,items,Weapons,Steel Spear Parts Schematic
uberShotgunPartsSchematic,items,Weapons,Shotgun Parts Schematic
uberSteelClubPartsSchematic,items,Weapons,Steel Club Parts Schematic
uberSteelSledgePartsSchematic,items,Weapons,Steel Sledgehammer Parts Schematic
uberSteelKnuckPartsSchematic,items,Weapons,Steel Knuckles Parts Schematic
uberMachineGunPartsSchematic,items,Weapons,Machine Gun Parts Schematic
uberBowPartsSchematic,items,Weapons,Bow / Crossbow Parts Schematic
uberHandgunPartsSchematic,items,Weapons,Hand Gun Parts Schematic
uberMachetePartsSchematic,items,Weapons,Machete Parts Schematic
uberBatonPartsSchematic,items,Weapons,Baton Parts Schematic
uberRoboticPartsSchematic,items,Weapons,Robotic Parts Schematic
uberRocketLauncherPartsSchematic,items,Weapons,Rocket Launcher Parts Schematic
uberSteelArmorPartsSchematic,items,Armor,Steel Armor Parts Schematic
uberMilitaryArmorPartsSchematic,items,Armor,Military Armor Parts Schematic

uberSkills,progression,Extra Skills,Extra Skills
uberSkillsName,progression,Extra Skills,Extra Skills
uberSkillsDesc,progression,Extra Skills,Get some extra effects using those extra skill points you have laying around!
uberSkillsBase,progression,Extra Skills,Unlock Extra Skills
uberSkillsBaseDesc,progression,Extra Skills,"You've unlocked Extra Skills, spend them well!"

uberSkillsCatPhysical,progression,Extra Skills,Physical
uberSkillsCatPhysicalDesc,progression,Extra Skills,Up your physical prowess with these perks!
uberSkillsCatMental,progression,Extra Skills,Mental
uberSkillsCatMentalDesc,progression,Extra Skills,Perks to increase some of your mental stats!
uberSkillsCatMeleeMasteries,progression,Extra Skills,Melee Mastery
uberSkillsCatMeleeMasteriesDesc,progression,Extra Skills,Hit harder and better with your melee weapons using these perks!
